nivesh@nivesh-VirtualBox:~/assignment_1$ ps -el
F S   UID     PID    PPID  C PRI  NI ADDR SZ WCHAN  TTY          TIME CMD
0 S  1000    2213    1105  0  80   0 - 104445 do_pol ?       00:00:00 xdg-desktop-por
0 S  1000    2409    1259  0  80   0 - 104638 do_pol ?       00:00:00 update-notifier
0 S  1000    2647    1105  0  80   0 - 175020 do_pol ?       00:00:07 gnome-terminal-
0 S  1000    2655    2647  0  80   0 -  2756 do_wai pts/0    00:00:00 bash
4 S  1000    2894    1105  0  80   0 -  9784 do_wai ?        00:00:00 snapd-desktop-i
1 S     0    3191       2  0  58   - -     0 -      ?        00:00:00 psimon
1 S  1000    3193    2894  0  80   0 - 107397 do_pol ?       00:00:00 snapd-desktop-i
4 S     0    3297       1  0  80   0 - 120125 -     ?        00:00:00 fwupd
1 I     0    3340       2  0  60 -20 -     0 -      ?        00:00:00 kworker/u5:1
1 I     0    3341       2  0  60 -20 -     0 -      ?        00:00:00 kworker/u5:2
1 I     0    3472       2  0  80   0 -     0 -      ?        00:00:02 kworker/u4:0-events_power_efficient
1 I     0    3588       2  0  60 -20 -     0 -      ?        00:00:00 kworker/0:2H-kblockd
4 S     0    3594       1  0  80   0 - 443873 -     ?        00:00:01 snapd
4 S     0    3686       1  0  79  -1 - 12612 -      ?        00:00:00 systemd-journal
4 S   990    3687       1  0  80   0 -  4391 -      ?        00:00:00 systemd-oomd
0 S  1000    3734    1295  0  80   0 - 722665 do_pol ?       00:00:00 gjs
1 I     0    3959       2  0  60 -20 -     0 -      ?        00:00:00 kworker/R-tls-strp
1 I     0    4063       2  0  80   0 -     0 -      ?        00:00:01 kworker/0:2-events
0 S  1000    4079    1105  0  80   0 - 313098 do_pol ?       00:00:07 nautilus
0 S  1000    4106    1240  0  80   0 - 97057 do_pol ?        00:00:00 gvfsd-recent
1 I     0    4147       2  0  60 -20 -     0 -      ?        00:00:00 kworker/0:0H-kblockd
1 I     0    4200       2  0  80   0 -     0 -      ?        00:00:00 kworker/u4:3-ext4-rsv-conversion
0 R  1000    4337    2655 99  80   0 -  3412 -      pts/0    00:00:00 ps

